subject,snippet,from_domain,label
Uber — Application Status (ML Engineer),"We value your interest in joining Uber. At this time, the position has been filled. We appreciate your interest and wish you the best in your career journey.",recruiting.company.com,REJECTED
ServiceNow Recruiting Team — Update,"Thank you for considering ServiceNow as a potential employer. Unfortunately, we have concluded our hiring process. We appreciate your interest and wish you the best in your career journey.",notifications.lever.co,REJECTED
Your LinkedIn application,"We appreciate your application for the Software Engineer role at LinkedIn. Unfortunately, we have concluded our hiring process. We appreciate the time and effort you invested in your application.",lever.co,REJECTED
Application outcome — Zoom,Thank you for your application to the Software Engineer position. We regret to inform you that we will not be progressing with your application. We wish you success in your future job search.,smartrecruiters.com,REJECTED
Netflix Recruiting Team — Update,"Thank you for taking the time to apply to Netflix. After reviewing your application, the position has been filled. We wish you success in your future job search.",icims.com,REJECTED
Application outcome — Twilio,"We appreciate your application for the Software Engineer role at Twilio. Unfortunately, your application was not selected. We wish you success in your future job search.",taleo.net,REJECTED
Oracle — Application Status (DevOps Engineer),"We appreciate the opportunity to review your application. However, the position has been filled. We encourage you to apply again in the future if another role aligns with your experience.",notifications.lever.co,REJECTED
Application outcome — Notion,"Thank you for considering Notion as a potential employer. Unfortunately, the position has been filled. We wish you success in your future job search.",notifications.lever.co,REJECTED
Update on your application — Google,"We appreciate your application for the DevOps Engineer role at Google. Unfortunately, we have decided not to proceed. Thank you for your interest in our company and for applying.",notifications.lever.co,REJECTED
VMware — Application Status (Data Analyst),"Thank you for considering VMware as a potential employer. Unfortunately, we will not be moving forward. We encourage you to apply again in the future if another role aligns with your experience.",smartrecruiters.com,REJECTED
Application outcome — Figma,Thank you for your application to the QA Engineer position. We regret to inform you that the position has been filled. We wish you success in your future job search.,careers.company.com,REJECTED
Amazon Recruiting Team — Update,"After careful review of your background and experience, we will not be moving forward. We appreciate your interest and wish you the best in your career journey.",taleo.net,REJECTED
Tesla Recruiting Team — Update,"We appreciate the opportunity to review your application. However, we will not be progressing with your application. We encourage you to apply again in the future if another role aligns with your experience.",careers.company.com,REJECTED
Microsoft — Application Status (Site Reliability Engineer),"Thank you for considering Microsoft as a potential employer. Unfortunately, we have chosen to move forward with other candidates. We wish you success in your future job search.",taleo.net,REJECTED
Coinbase Recruiting Team — Update,"We appreciate your application for the Data Analyst role at Coinbase. Unfortunately, we will not be moving forward. We encourage you to apply again in the future if another role aligns with your experience.",notifications.lever.co,REJECTED
Application outcome — Palantir,"Thank you for taking the time to apply to Palantir. After reviewing your application, your application was not selected. We appreciate the time and effort you invested in your application.",smartrecruiters.com,REJECTED
Zoom — Application Status (Software Engineer),"We value your interest in joining Zoom. At this time, unfortunately. We appreciate the time and effort you invested in your application.",taleo.net,REJECTED
Your LinkedIn application,"After careful review of your background and experience, we have concluded our hiring process. We appreciate the time and effort you invested in your application.",noreply.greenhouse.io,REJECTED
Stripe Recruiting Team — Update,"Thank you for taking the time to apply to Stripe. After reviewing your application, your application was not selected. We appreciate your interest and wish you the best in your career journey.",jobs.company.com,REJECTED
Your Shopify application,"We appreciate your application for the Data Analyst role at Shopify. Unfortunately, we have concluded our hiring process. Thank you for your interest in our company and for applying.",jobs.company.com,REJECTED
Your ServiceNow application,"We appreciate the opportunity to review your application. However, we will not be moving forward. Thank you for your interest in our company and for applying.",noreply.greenhouse.io,REJECTED
Cisco Careers — Solutions Engineer,"We appreciate the opportunity to review your application. However, we will not be moving forward. We appreciate your interest and wish you the best in your career journey.",noreply.greenhouse.io,REJECTED
Your Google application,"Thank you for considering Google as a potential employer. Unfortunately, the position has been filled. We encourage you to apply again in the future if another role aligns with your experience.",myworkday.com,REJECTED
Regarding your application at Snowflake,"Thank you for taking the time to apply to Snowflake. After reviewing your application, we will not be progressing with your application. We encourage you to apply again in the future if another role aligns with your expe",jobs.company.com,REJECTED
Adobe Careers — Applied Scientist,"We appreciate your application for the Applied Scientist role at Adobe. Unfortunately, we have concluded our hiring process. We wish you success in your future job search.",taleo.net,REJECTED
Update on your application — Oracle,"Thank you for considering Oracle as a potential employer. Unfortunately, we have decided not to proceed. Thank you for your interest in our company and for applying.",greenhouse.io,REJECTED
Tesla Careers — Data Analyst,"Thank you for taking the time to apply to Tesla. After reviewing your application, we regret to inform you. Thank you for your interest in our company and for applying.",recruiting.company.com,REJECTED
