subject,snippet,from_domain,label
Application received — Salesforce,"We are continuing to review applications for the Data Analyst position. If selected, a member of our recruiting team will contact you.",lever.co,NOT_REJECTED
Oracle Recruiting — Next steps,Your application is under consideration. We appreciate your patience as we complete our review process.,notifications.lever.co,NOT_REJECTED
Nvidia Recruiting — Next steps,Thank you for your interest in joining Nvidia. We are in the process of reviewing candidate profiles and will reach out with updates.,jobs.company.com,NOT_REJECTED
DoorDash — Application under review (Security Engineer),"We are continuing to review applications for the Security Engineer position. If selected, a member of our recruiting team will contact you.",jobs.company.com,NOT_REJECTED
Twilio Careers — Backend Engineer,Your application is under consideration. We appreciate your patience as we complete our review process.,icims.com,NOT_REJECTED
Shopify — Interview scheduling request,"We are continuing to review applications for the Frontend Engineer position. If selected, a member of our recruiting team will contact you.",noreply.workday.com,NOT_REJECTED
Shopify — Assessment instructions,This message confirms receipt of your application for the Applied Scientist role at Shopify. We will follow up once the review process is complete.,taleo.net,NOT_REJECTED
Okta — Interview scheduling request,Thank you for applying to Okta. We are reviewing submissions and will provide updates as the process progresses.,noreply.workday.com,NOT_REJECTED
Application received — Uber,"We are continuing to review applications for the Solutions Engineer position. If selected, a member of our recruiting team will contact you.",smartrecruiters.com,NOT_REJECTED
Figma — Application under review (Data Scientist),Thank you for your interest in joining Figma. We are in the process of reviewing candidate profiles and will reach out with updates.,careers.company.com,NOT_REJECTED
ServiceNow — Application under review (Applied Scientist),This message confirms receipt of your application for the Applied Scientist role at ServiceNow. We will follow up once the review process is complete.,jobs.company.com,NOT_REJECTED
Palantir — Application under review (DevOps Engineer),Thank you for applying to Palantir. We are reviewing submissions and will provide updates as the process progresses.,lever.co,NOT_REJECTED
Update on your application at ServiceNow,Your application for Backend Engineer at ServiceNow is currently being evaluated. No action is required from you at this time.,taleo.net,NOT_REJECTED
Microsoft — Thank you for applying,We are in the process of coordinating interviews for this role. You will be contacted if your profile is shortlisted.,icims.com,NOT_REJECTED
Netflix — Thank you for applying,We appreciate your interest in opportunities at Netflix. Our team is reviewing applications and will contact you regarding next steps.,greenhouse.io,NOT_REJECTED
Application received — Airbnb,This message confirms receipt of your application for the ML Engineer role at Airbnb. We will follow up once the review process is complete.,taleo.net,NOT_REJECTED
Google — Interview scheduling request,"We are continuing to review applications for the Software Engineer position. If selected, a member of our recruiting team will contact you.",recruiting.company.com,NOT_REJECTED
Your application with DoorDash,This is an update regarding your application at DoorDash. The hiring team is still reviewing candidates.,successfactors.com,NOT_REJECTED
Your application with Adobe,This message confirms receipt of your application for the Site Reliability Engineer role at Adobe. We will follow up once the review process is complete.,successfactors.com,NOT_REJECTED
Figma — Thank you for applying,Thank you for applying for the Data Scientist position at Figma. Your application has been received and is currently under review by our hiring team.,smartrecruiters.com,NOT_REJECTED
Figma Careers — QA Engineer,Thank you for applying to Figma. We are reviewing submissions and will provide updates as the process progresses.,notifications.lever.co,NOT_REJECTED
Update on your application at Stripe,We appreciate your interest in opportunities at Stripe. Our team is reviewing applications and will contact you regarding next steps.,myworkday.com,NOT_REJECTED
Netflix — Assessment instructions,This message confirms receipt of your application for the Data Scientist role at Netflix. We will follow up once the review process is complete.,taleo.net,NOT_REJECTED
Coinbase Recruiting — Next steps,Thank you for your interest in joining Coinbase. We are in the process of reviewing candidate profiles and will reach out with updates.,noreply.workday.com,NOT_REJECTED
Update on your application at VMware,Thank you for applying to VMware. We are reviewing submissions and will provide updates as the process progresses.,myworkday.com,NOT_REJECTED
ServiceNow: Interview process update,Thank you for applying for the Site Reliability Engineer position at ServiceNow. Your application has been received and is currently under review by our hiring team.,recruiting.company.com,NOT_REJECTED
Tesla Careers — Data Analyst,This message confirms receipt of your application for the Data Analyst role at Tesla. We will follow up once the review process is complete.,workday.com,NOT_REJECTED
Stripe Careers — Applied Scientist,Your application for Applied Scientist at Stripe is currently being evaluated. No action is required from you at this time.,jobs.company.com,NOT_REJECTED
Update on your application at Coinbase,Thank you for applying to Coinbase. We are reviewing submissions and will provide updates as the process progresses.,jobs.company.com,NOT_REJECTED
Cisco Careers — Data Scientist,Thank you for your interest in joining Cisco. We are in the process of reviewing candidate profiles and will reach out with updates.,recruiting.company.com,NOT_REJECTED
Tesla — Application under review (Site Reliability Engineer),Your application for Site Reliability Engineer at Tesla is currently being evaluated. No action is required from you at this time.,lever.co,NOT_REJECTED
Application received — Coinbase,This is an update regarding your application at Coinbase. The hiring team is still reviewing candidates.,lever.co,NOT_REJECTED
Microsoft Recruiting — Next steps,Thank you for applying for the Solutions Engineer position at Microsoft. Your application has been received and is currently under review by our hiring team.,noreply.workday.com,NOT_REJECTED
Update on your application at Oracle,Thank you for your interest in joining Oracle. We are in the process of reviewing candidate profiles and will reach out with updates.,jobs.company.com,NOT_REJECTED
Palantir — Application under review (Product Manager),We appreciate your interest in opportunities at Palantir. Our team is reviewing applications and will contact you regarding next steps.,successfactors.com,NOT_REJECTED
Update on your application at ServiceNow,Your application is under consideration. We appreciate your patience as we complete our review process.,lever.co,NOT_REJECTED
Snowflake Recruiting — Next steps,We appreciate your interest in opportunities at Snowflake. Our team is reviewing applications and will contact you regarding next steps.,smartrecruiters.com,NOT_REJECTED
Databricks — Assessment instructions,Your application is under consideration. We appreciate your patience as we complete our review process.,myworkday.com,NOT_REJECTED
Airbnb Recruiting — Next steps,Thank you for applying for the QA Engineer position at Airbnb. Your application has been received and is currently under review by our hiring team.,greenhouse.io,NOT_REJECTED
Zoom — Interview scheduling request,Your application for QA Engineer at Zoom is currently being evaluated. No action is required from you at this time.,careers.company.com,NOT_REJECTED
